학교,학년,난이도,과목,문제,정답,선택1,선택2,선택3
고등학교,3,3,영어,무관심한,Indifferent,Interested,Caring,Concerned
고등학교,3,2,영어,놀라운,Amazing,Ordinary,Awesome,Incredible
고등학교,3,1,영어,모험심 있는,Adventurous,Cautious,Daring,Risk-averse
고등학교,3,2,영어,뛰어난,Excellent,Mediocre,Outstanding,Superior
고등학교,3,3,영어,훌륭한,Great,Mediocre,Excellent,Good
고등학교,3,2,영어,올바른,Correct,Incorrect,Right,Wrong
고등학교,3,1,영어,행복한,Happy,Sad,Joyful,Content
고등학교,3,2,영어,긍정적인,Positive,Negative,Optimistic,Pessimistic
고등학교,3,3,영어,열정적인,Passionate,Indifferent,Apathetic,Enthusiastic
고등학교,3,2,영어,자신감 있는,Confident,Insecure,Assured,Doubtful
고등학교,3,1,영어,용기 있는,Courageous,Fearful,Brave,Scared
고등학교,3,2,영어,섬세한,Delicate,Rough,Fragile,Sturdy
고등학교,3,3,영어,책임감 있는,Responsible,Irresponsible,Accountable,Reliable
고등학교,3,2,영어,혼란스러운,Confusing,Clear,Baffling,Muddled
고등학교,3,3,영어,관대한,Tolerant,Intolerant,Accepting,Open-minded
고등학교,3,2,영어,낭비하는,Squander,Waste,Save,Preserve
고등학교,3,1,영어,대담한,Daring,Cautious,Bold,Brave
고등학교,3,2,영어,냉정한,Cool-headed,Impulsive,Rash,Hot-headed
고등학교,3,3,영어,모험을 좋아하는,Adventurous,Reserved,Cautious,Daring
고등학교,3,2,영어,자신의 능력을 믿는,Believe in oneself,Doubt oneself,Trust in oneself,Rely on oneself
고등학교,3,2,영어,자연스러운,Natural,Artificial,Unaffected,Forced
